section_name	web_url	pub_date	snippet
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-amazon-stocks.html	2017-07-10T23:45:29+0000	Amazon.com shares rose on Monday ahead of the world's largest online retailer's own version of Black Friday, while its new service to help set up 'smart homes' weighed on rival Best Buy Co Inc....
World	https://www.nytimes.com/reuters/2017/07/10/world/asia/10reuters-hawaii-security.html	2017-07-10T23:42:29+0000	A U.S. Army soldier who served in Iraq and Afghanistan and is now stationed in Hawaii has been arrested on charges of providing material support to Islamic State extremists, the Federal Bureau of Investigation said on Monday....
World	https://www.nytimes.com/aponline/2017/07/10/world/asia/ap-un-united-nations-myanmar-human-rights.html	2017-07-10T23:40:23+0000	U.S. Ambassador Nikki Haley is urging the international community "to stand together" and call on Myanmar's government to cooperate with a U.N. mission charged with probing alleged abuses by military and security forces, including against the mino...
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-ireland-economy-consumersentiment.html	2017-07-10T23:18:30+0000	Irish consumer sentiment surged to its highest level in 16 months in June, a survey showed on Tuesday....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-usa-trump-fed.html	2017-07-10T23:18:29+0000	U.S. President Donald Trump plans to nominate former Treasury official Randal Quarles to be the Federal Reserve's top banking regulator, the White House said on Monday....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-economy-retail.html	2017-07-10T23:06:32+0000	British households spent more money on food and other essentials last month but held back on less urgent purchases as they faced rising prices, two sets of industry figures showed on Tuesday....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-eu-banks-outlook.html	2017-07-10T23:06:28+0000	Optimism about the business environment among Britain's financial services firms declined in the second quarter of this year, according to a survey published on Tuesday....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-usa-m-a-fashion.html	2017-07-10T23:00:33+0000	Mergers and acquisitions for fashion retailers are like a crop top t-shirt: a risk best braved by a select few and avoided after a certain age....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-usa-trump-russia-factbox.html	2017-07-10T23:00:30+0000	Alan Futerfas, the lawyer Donald Trump Jr. has hired to represent him in connection with Russia-related probes, has over 25 years experience in handling government investigations and criminal cases....
Business Day	https://www.nytimes.com/2017/07/10/business/dealbook/warren-buffett-elliott-management-energy-future-oncor.html	2017-07-10T22:37:58+0000	The hedge fund said it was working on a $9.3 billion takeover bid for Energy Future Holdings that would edge out a $9 billion offer by Berkshire Hathaway....
